EDT,variable,value
2012-03-10, Max Wind SpeedMPH,13
2012-03-10, Mean Wind SpeedMPH,6
2012-03-10, Mean Sea Level PressureIn,30.45
2012-03-10, Max VisibilityMiles,10
2012-03-10, Mean VisibilityMiles,10
2012-03-10, Max Sea Level PressureIn,30.53
2012-03-10, Min VisibilityMiles,10
2012-03-10,Max Dew PointF,24
2012-03-10, Min Sea Level PressureIn,30.34
2012-03-10, CloudCover,0
2012-03-10,MeanDew PointF,20
2012-03-10,PrecipitationIn,0.00
2012-03-10, Max Gust SpeedMPH,17.0
2012-03-10, Min Humidity,26
2012-03-10, Mean Humidity,50
2012-03-10,Min DewpointF,16
2012-03-10,Min TemperatureF,24
2012-03-10, WindDirDegrees,138
2012-03-10,Mean TemperatureF,40
2012-03-10,Max TemperatureF,56
2012-03-10,Max Humidity,74
2012-03-11, Max Wind SpeedMPH,22
2012-03-11,Max Dew PointF,43
2012-03-11, Max Gust SpeedMPH,32.0
2012-03-11,Min TemperatureF,30
2012-03-11, Min VisibilityMiles,10
2012-03-11,Max TemperatureF,67
2012-03-11, Max VisibilityMiles,10
2012-03-11, Mean Humidity,53
2012-03-11, Min Sea Level PressureIn,30.13
2012-03-11,Mean TemperatureF,49
2012-03-11, Events,Rain
2012-03-11,Max Humidity,78
2012-03-11, Mean VisibilityMiles,10
2012-03-11, Max Sea Level PressureIn,30.37
2012-03-11,Min DewpointF,24
2012-03-11, Mean Wind SpeedMPH,7
2012-03-11,MeanDew PointF,31
2012-03-11,PrecipitationIn,T
2012-03-11, Min Humidity,28
2012-03-11, WindDirDegrees,163
2012-03-11, Mean Sea Level PressureIn,30.27
2012-03-12, Mean Wind SpeedMPH,14
2012-03-12,Max Humidity,90
2012-03-12, Min VisibilityMiles,6
2012-03-12,Max TemperatureF,71
2012-03-12, Mean VisibilityMiles,10
2012-03-12, Max Sea Level PressureIn,30.13
2012-03-12, Min Humidity,61
2012-03-12, Min Sea Level PressureIn,29.88
2012-03-12,Max Dew PointF,59
2012-03-12,Min TemperatureF,53
2012-03-12, CloudCover,6
2012-03-12,Mean TemperatureF,62
2012-03-12, WindDirDegrees,190
2012-03-12,PrecipitationIn,0.03
2012-03-12,MeanDew PointF,55
2012-03-12, Events,Rain
2012-03-12, Max VisibilityMiles,10
2012-03-12, Max Wind SpeedMPH,24
2012-03-12, Mean Humidity,76
2012-03-12, Max Gust SpeedMPH,36.0
2012-03-12,Min DewpointF,43
2012-03-12, Mean Sea Level PressureIn,29.99
2012-03-13, CloudCover,0
2012-03-13, Min Sea Level PressureIn,29.97
2012-03-13, Min Humidity,38
2012-03-13, Max Sea Level PressureIn,30.12
2012-03-13, Max Wind SpeedMPH,16
2012-03-13, Mean VisibilityMiles,10
2012-03-13,Min DewpointF,47
2012-03-13,PrecipitationIn,0.00
2012-03-13, Max VisibilityMiles,10
2012-03-13, Mean Wind SpeedMPH,5
2012-03-13, Mean Humidity,66
2012-03-13,Max Dew PointF,57
2012-03-13, WindDirDegrees,242
2012-03-13,Min TemperatureF,50
2012-03-13,Max Humidity,93
2012-03-13, Mean Sea Level PressureIn,30.06
2012-03-13,MeanDew PointF,53
2012-03-13,Mean TemperatureF,63
2012-03-13, Max Gust SpeedMPH,24.0
2012-03-13, Min VisibilityMiles,4
2012-03-13,Max TemperatureF,76
2012-03-14,Max Dew PointF,58
2012-03-14, Min Humidity,42
2012-03-14, WindDirDegrees,202
2012-03-14,PrecipitationIn,0.00
2012-03-14, Mean Humidity,68
2012-03-14,Min TemperatureF,44
2012-03-14, Mean Sea Level PressureIn,30.1
2012-03-14,MeanDew PointF,52
2012-03-14, Min Sea Level PressureIn,30.04
2012-03-14, Max Sea Level PressureIn,30.15
2012-03-14, Max VisibilityMiles,10
2012-03-14,Min DewpointF,43
2012-03-14,Max TemperatureF,80
2012-03-14, Max Wind SpeedMPH,16
2012-03-14, Mean VisibilityMiles,10
2012-03-14, Min VisibilityMiles,10
2012-03-14, Mean Wind SpeedMPH,6
2012-03-14, Max Gust SpeedMPH,22.0
2012-03-14,Max Humidity,93
2012-03-14, CloudCover,0
2012-03-14,Mean TemperatureF,62
2012-03-15, Min VisibilityMiles,10
2012-03-15, Mean Humidity,69
2012-03-15, Min Sea Level PressureIn,30.02
2012-03-15, Mean Wind SpeedMPH,10
2012-03-15, CloudCover,3
2012-03-15,Max Humidity,90
2012-03-15, Max Gust SpeedMPH,41.0
2012-03-15,Mean TemperatureF,69
2012-03-15,MeanDew PointF,58
2012-03-15, Mean Sea Level PressureIn,30.08
2012-03-15,Min TemperatureF,58
2012-03-15, Max Sea Level PressureIn,30.13
2012-03-15, Events,Rain-Thunderstorm
2012-03-15,Max TemperatureF,79
2012-03-15,Max Dew PointF,61
2012-03-15, Max Wind SpeedMPH,31
2012-03-15, Min Humidity,48
2012-03-15, Max VisibilityMiles,10
2012-03-15,Min DewpointF,53
2012-03-15,PrecipitationIn,0.04
2012-03-15, Mean VisibilityMiles,10
2012-03-15, WindDirDegrees,209
2012-03-16, Max VisibilityMiles,10
2012-03-16,Max Humidity,100
2012-03-16,Min TemperatureF,52
2012-03-16, Max Wind SpeedMPH,14
2012-03-16, Max Gust SpeedMPH,20.0
2012-03-16,Min DewpointF,51
2012-03-16, Mean Humidity,75
2012-03-16, Mean Sea Level PressureIn,30.1
2012-03-16,Max TemperatureF,75
2012-03-16,MeanDew PointF,54
2012-03-16, WindDirDegrees,169
2012-03-16,PrecipitationIn,T
2012-03-16,Mean TemperatureF,64
2012-03-16, Min Sea Level PressureIn,30.07
2012-03-16, CloudCover,2
2012-03-16,Max Dew PointF,57
2012-03-16, Min Humidity,49
2012-03-16, Max Sea Level PressureIn,30.14
